auto_name,family,config_entry_count,has_config
AutoHINT,Specialized,0.0,False
AutoNBEATS,Specialized,13.0,True
AutoNBEATSx,Specialized,13.0,True
AutoNLinear,Linear/MLP,13.0,True
AutoDLinear,Linear/MLP,14.0,True
AutoFEDformer,Transformer,14.0,True
AutoStemGNN,Specialized,14.0,True
AutoTCN,CNN,14.0,True
AutoAutoformer,Transformer,15.0,True
AutoBiTCN,CNN,15.0,True
AutoGRU,RNN,15.0,True
AutoInformer,Transformer,15.0,True
AutoLSTM,RNN,15.0,True
AutoMLP,Linear/MLP,15.0,True
AutoMLPMultivariate,Linear/MLP,15.0,True
AutoNHITS,Specialized,15.0,True
AutoPatchTST,Transformer,15.0,True
AutoRNN,Specialized,15.0,True
AutoSOFTS,Specialized,15.0,True
AutoTFT,Transformer,15.0,True
AutoTSMixer,Linear/MLP,15.0,True
AutoTSMixerx,Linear/MLP,15.0,True
AutoTimeXer,Transformer,15.0,True
AutoTimesNet,CNN,15.0,True
AutoVanillaTransformer,Transformer,15.0,True
AutoiTransformer,Transformer,15.0,True
AutoDeepAR,Specialized,16.0,True
AutoDeepNPTS,Specialized,16.0,True
AutoDilatedRNN,RNN,16.0,True
AutoKAN,Specialized,16.0,True
AutoRMoK,Specialized,16.0,True
AutoTimeMixer,Specialized,16.0,True
AutoxLSTM,RNN,17.0,True
AutoTiDE,Specialized,21.0,True
